2017-09-22 14:39:34,904 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-09-22 14:40:53,974 [Worker-11] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.seniorsolution.mavendao:01_ConceitosDependencia:1.0.0 @ C:\Desenvolvimento_Java\Modulo02\01_ConceitosDependencia\pom.xml.
2017-09-22 14:40:54,510 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.seniorsolution.mavendao:01_ConceitosDependencia:1.0.0 @ C:\Desenvolvimento_Java\Modulo02\01_ConceitosDependencia\pom.xml.
2017-09-22 14:40:56,722 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-22 14:40:56,780 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Desenvolvimento_Java\Modulo02\01_ConceitosDependencia\src\main\resources
2017-09-22 14:40:56,790 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-22 14:40:56,799 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Desenvolvimento_Java\Modulo02\01_ConceitosDependencia\src\test\resources
2017-09-22 14:40:59,198 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.seniorsolution.mavendao:01_ConceitosDependencia:1.0.0 @ C:\Desenvolvimento_Java\Modulo02\01_ConceitosDependencia\pom.xml.
2017-09-22 14:40:59,302 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: br.com.seniorsolution.mavenweb:03_ProjetoWeb:1.0.0 @ C:\Desenvolvimento_Java\Modulo02\03_ProjetoWeb\pom.xml.
2017-09-22 14:40:59,334 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for br.com.seniorsolution.maven:04_ExemploMaven:jar:1.1 is missing, no dependency information available
2017-09-22 14:41:00,251 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for br.com.seniorsolution.maven:04_ExemploMaven:jar:1.1 is missing, no dependency information available
2017-09-22 14:41:03,029 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-22 14:41:03,039 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Desenvolvimento_Java\Modulo02\03_ProjetoWeb\src\main\resources
2017-09-22 14:41:03,044 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-22 14:41:03,064 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Desenvolvimento_Java\Modulo02\03_ProjetoWeb\src\test\resources
2017-09-22 14:41:04,154 [Worker-21] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.seniorsolution.mavendao:01_ConceitosDependencia:1.0.0 @ C:\Desenvolvimento_Java\Modulo02\01_ConceitosDependencia\pom.xml.
2017-09-22 14:41:04,240 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for br.com.seniorsolution.maven:04_ExemploMaven:jar:1.1 is missing, no dependency information available
2017-09-22 14:41:04,270 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-22 14:41:04,282 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Desenvolvimento_Java\Modulo02\03_ProjetoWeb\src\main\resources
