127.0.0.1 - - [29/Sep/2017:13:36:43 -0300] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:36:47 -0300] "GET /02_VendasJPA/cadConsulta.jsp HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:36:47 -0300] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:36:54 -0300] "GET /02_VendasJPA/cadConsulta.jsp?pedido=100&pedido=3++-++games HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:36:59 -0300] "GET /02_VendasJPA/cadConsulta.jsp?pedido=100&pedido=3++-++games HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:37:58 -0300] "GET /02_VendasJPA/cadConsulta.jsp?opcao=pedidos&pedido=100&pedido=3++-++games HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:38:03 -0300] "GET /02_VendasJPA/cadConsulta.jsp?opcao=pedidos&pedido=102&pedido=3++-++games HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:38:13 -0300] "GET /02_VendasJPA/cadConsulta.jsp?opcao=pedidos&pedido=104&pedido=4++-++alim HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:38:15 -0300] "GET /02_VendasJPA/cadConsulta.jsp?pedido=100&pedido=3++-++games HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:41:43 -0300] "GET /02_VendasJPA/cadConsulta.jsp?pedido=100&pedido=3++-++games HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:41:49 -0300] "GET /02_VendasJPA/cadConsulta.jsp?opcao=pedidos&pedido=102&pedido=3++-++games HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:47:25 -0300] "GET /02_VendasJPA/cadConsulta.jsp?opcao=pedidos&pedido=102&pedido=3++-++games HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:47:26 -0300] "GET /02_VendasJPA/cadConsulta.jsp?opcao=pedidos&pedido=102&pedido=3++-++games HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:47:26 -0300] "GET /02_VendasJPA/cadConsulta.jsp?opcao=pedidos&pedido=102&pedido=3++-++games HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:47:29 -0300] "GET /02_VendasJPA HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:47:29 -0300] "GET /02_VendasJPA/ HTTP/1.1" 200 567
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:47:31 -0300] "GET /02_VendasJPA/cadConsulta.jsp HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:47:35 -0300] "GET /02_VendasJPA/cadConsulta.jsp?opcao=pedidos&pedido=102&pedido=3++-++games HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:49:24 -0300] "GET /02_VendasJPA/cadConsulta.jsp?opcao=pedidos&pedido=102&pedido=3++-++games HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:49:35 -0300] "GET /02_VendasJPA/cadConsulta.jsp?opcao=pedidos&pedido=102&pedido=3++-++games HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:50:54 -0300] "GET /02_VendasJPA/cadConsulta.jsp?opcao=pedidos&pedido=102&pedido=3++-++games HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:51:08 -0300] "GET /02_VendasJPA/cadConsulta.jsp?opcao=pedidos&pedido=102&pedido=3++-++games HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:51:14 -0300] "GET /02_VendasJPA/ HTTP/1.1" 200 567
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:51:16 -0300] "GET /02_VendasJPA/cadItem.jsp HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:51:37 -0300] "POST /02_VendasJPA/itens HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:52:35 -0300] "GET /02_VendasJPA/cadConsulta.jsp HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:52:51 -0300] "GET /02_VendasJPA/cadConsulta.jsp?opcao=itens&pedido=103&pedido=4++-++alim HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:53:20 -0300] "GET /02_VendasJPA/cadPedidos.jsp HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:54:08 -0300] "POST /02_VendasJPA/pedidos HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:54:13 -0300] "GET /02_VendasJPA/cadConsulta.jsp HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:54:35 -0300] "GET /02_VendasJPA/cadPedidos.jsp HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:54:39 -0300] "GET /02_VendasJPA/cadConsulta.jsp HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:54:51 -0300] "GET /02_VendasJPA/cadConsulta.jsp?opcao=pedidos&pedido=100&pedido=55++-++alim HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:55:02 -0300] "GET /02_VendasJPA/cadItem.jsp HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:55:25 -0300] "POST /02_VendasJPA/itens HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:55:28 -0300] "GET /02_VendasJPA/cadConsulta.jsp HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:55:35 -0300] "GET /02_VendasJPA/cadConsulta.jsp?opcao=pedidos&pedido=100&pedido=4++-++alim HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:55:37 -0300] "GET /02_VendasJPA/cadConsulta.jsp?pedido=100&pedido=55++-++alim HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [29/Sep/2017:13:55:41 -0300] "GET /02_VendasJPA/cadConsulta.jsp?opcao=pedidos&pedido=100&pedido=55++-++alim HTTP/1.1" 200 1151
